"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Mixed/Other Trees","Pasture",0.262166666666667,0.02,0.07,0.145,0.26,3.21
"Livestock Mammal
Headcount","Cultivated/Managed
Veg.",0.236930693069307,0.01,0.07,0.145,0.3075,1.49
"Evergreen/Deciduous
Needleleaf Trees","Population",0.1875,0.02,0.06,0.14,0.27,1.37
"Evergreen Broadleaf
Trees","Cropland Change",0.272352941176471,0.02,0.08,0.14,0.295,3.51
"Evergreen Broadleaf
Trees","Evergreen/Deciduous
Needleleaf Trees",0.185789473684211,0.02,0.06,0.14,0.18,1.46
"Deciduous Broadleaf
Trees","Evergreen/Deciduous
Needleleaf Trees",0.2375,0.02,0.0775,0.14,0.2425,2.57
"Mixed/Other Trees","Evergreen Broadleaf
Trees",0.229852941176471,0.02,0.0775,0.14,0.2925,1.2
"Herbaceous Veg.","Cropland Change",0.279298245614035,0.02,0.1,0.14,0.22,2.6
"Herbaceous Veg.","Shrubs",0.440588235294118,0.02,0.05,0.14,0.27,4.19
"Cultivated/Managed
Veg.","Population",0.233233532934132,0.02,0.07,0.14,0.315,1.34
"Regularly Flooded Veg.","Pasture",0.212,0.03,0.08,0.14,0.22,1.63
"Urban/Built-up","Cropland Change",0.304666666666667,0.02,0.07,0.14,0.305,4.24
"Urban/Built-up","Cultivated/Managed
Veg.",0.305324675324675,0.01,0.05,0.14,0.28,7.29
"Livestock Mammal
Headcount","Population",0.222688172043011,0.01,0.06,0.14,0.23,2.47
"Mammal Biodiversity","Population Change",0.398794326241135,0.02,0.08,0.14,0.42,7.67
"Population","Cropland",0.242424242424242,0.02,0.08,0.14,0.28,2.82
"Poultry","Mixed/Other Trees",0.177619047619048,0.02,0.07,0.14,0.21,0.87
"Poultry","Global Envir. Strat.",0.255909090909091,0.01,0.07,0.14,0.29,2.95
"Cultivated/Managed
Veg.","Mixed/Other Trees",0.294545454545455,0.01,0.07,0.135,0.25,5.54
"Urban/Built-up","Herbaceous Veg.",0.188181818181818,0.02,0.065,0.135,0.2225,0.68
"Urban/Built-up","Population Change",0.17975,0.02,0.07,0.135,0.2125,0.87
"Global Envir. Strat.","Shrubs",0.2533,0.01,0.0575,0.135,0.315,3.03
"Livestock Mammal
Headcount","Evergreen/Deciduous
Needleleaf Trees",0.254591836734694,0.01,0.07,0.135,0.2575,2.95
"Continent","Livestock Mammal
Headcount",0.252980132450331,0,0.06,0.13,0.225,3.49
"Continent","Population",0.229807692307692,0.01,0.0575,0.13,0.25,4.94
"Evergreen/Deciduous
Needleleaf Trees","Population Change",0.2236,0.01,0.0625,0.13,0.24,2.11
"Evergreen Broadleaf
Trees","Population",0.222075471698113,0.01,0.07,0.13,0.23,2.09
"Cultivated/Managed
Veg.","Population Change",0.257741935483871,0.01,0.06,0.13,0.24,2.74
"Regularly Flooded Veg.","Population Change",0.218771929824561,0.02,0.06,0.13,0.29,1.5
"Urban/Built-up","Pasture",0.225,0.02,0.0775,0.13,0.2775,1.75
"Global Envir. Strat.","Evergreen/Deciduous
Needleleaf Trees",0.299782608695652,0.01,0.06,0.13,0.2725,6.81
"Livestock Mammal
Headcount","Evergreen Broadleaf
Trees",0.181012658227848,0.01,0.05,0.13,0.22,1.65
"Livestock Mammal
Headcount","Shrubs",0.206216216216216,0.01,0.04,0.13,0.26,1.19
"Livestock Mammal
Headcount","Mammal Biodiversity",0.240079365079365,0.01,0.06,0.13,0.26,2.12
"Livestock Mammal
Headcount","Poultry",0.310126582278481,0.01,0.06,0.13,0.31,3.66
"Mammal Biodiversity","Evergreen Broadleaf
Trees",0.270308641975309,0.01,0.07,0.13,0.31,2.77
"Pasture","Cropland",0.201683168316832,0.02,0.07,0.13,0.24,1.69
"Poultry","Cropland",0.232758620689655,0.02,0.06,0.13,0.295,1.24
"Poultry","Cultivated/Managed
Veg.",0.2573,0.01,0.06,0.13,0.2725,4.05
"Poultry","Regularly Flooded Veg.",0.1575,0.01,0.06,0.13,0.1875,0.63
"Shrubs","Evergreen/Deciduous
Needleleaf Trees",0.161538461538462,0.02,0.07,0.125,0.15,0.94
"Cultivated/Managed
Veg.","Pasture",0.199210526315789,0.01,0.09,0.125,0.27,1.35
"Poultry","Deciduous Broadleaf
Trees",0.281,0.01,0.06,0.125,0.2725,2.18
"Continent","Cropland",0.275809523809524,0.01,0.04,0.12,0.28,3.41
"Continent","Evergreen/Deciduous
Needleleaf Trees",0.229,0.01,0.05,0.12,0.3025,2.25
"Continent","Cultivated/Managed
Veg.",0.268266666666667,0.01,0.06,0.12,0.2875,3.3
"Continent","Pasture",0.333585858585859,0.01,0.06,0.12,0.3,7.58
"Evergreen/Deciduous
Needleleaf Trees","Pasture",0.2274,0.02,0.07,0.12,0.28,1.3
"Deciduous Broadleaf
Trees","Cropland",0.179230769230769,0.02,0.07,0.12,0.275,0.74
"Deciduous Broadleaf
Trees","Pasture",0.233088235294118,0.03,0.08,0.12,0.2425,1.22
"Mixed/Other Trees","Cropland",0.212222222222222,0.02,0.0675,0.12,0.2025,1.4
"Mixed/Other Trees","Population",0.320921052631579,0.02,0.0775,0.12,0.27,3.94
"Urban/Built-up","Cropland",0.326575342465753,0.02,0.07,0.12,0.26,5.18
"Global Envir. Strat.","Herbaceous Veg.",0.2095,0.01,0.0675,0.12,0.2425,1.99
"Livestock Mammal
Headcount","Deciduous Broadleaf
Trees",0.32468085106383,0.02,0.06,0.12,0.355,3.49
"Livestock Mammal
Headcount","Mixed/Other Trees",0.156896551724138,0.01,0.06,0.12,0.18,0.65
"Livestock Mammal
Headcount","Herbaceous Veg.",0.185945945945946,0.01,0.06,0.12,0.21,0.83
"Livestock Mammal
Headcount","Pasture",0.284385964912281,0.01,0.06,0.12,0.3175,2.9
"Livestock Mammal
Headcount","Population Change",0.158070175438596,0.01,0.06,0.12,0.22,0.8
"Population Change","Pasture",0.263432835820896,0.02,0.065,0.12,0.225,4.45
"Deciduous Broadleaf
Trees","Evergreen Broadleaf
Trees",0.255454545454545,0.02,0.06,0.115,0.2825,4.3
"Poultry","Pasture",0.189814814814815,0.02,0.0725,0.115,0.2275,0.85
"Continent","Evergreen Broadleaf
Trees",0.290671641791045,0.01,0.06,0.11,0.2725,4.28
"Continent","Urban/Built-up",0.25943661971831,0,0.05,0.11,0.285,2.63
"Evergreen Broadleaf
Trees","Cropland",0.145952380952381,0.02,0.0525,0.11,0.195,0.59
"Evergreen Broadleaf
Trees","Population Change",0.184166666666667,0.03,0.06,0.11,0.1975,1.52
"Shrubs","Mixed/Other Trees",0.141666666666667,0.05,0.0825,0.11,0.1525,0.45
"Herbaceous Veg.","Evergreen Broadleaf
Trees",0.183617021276596,0.01,0.05,0.11,0.18,1.24
"Herbaceous Veg.","Population",0.15728813559322,0.01,0.06,0.11,0.19,0.9
"Herbaceous Veg.","Population Change",0.212352941176471,0.03,0.07,0.11,0.21,1.33
"Regularly Flooded Veg.","Evergreen/Deciduous
Needleleaf Trees",0.14,0.02,0.0825,0.11,0.12,0.55
"Regularly Flooded Veg.","Mixed/Other Trees",0.158918918918919,0.01,0.05,0.11,0.24,0.68
"Regularly Flooded Veg.","Population",0.155593220338983,0.01,0.065,0.11,0.22,0.51
"Global Envir. Strat.","Urban/Built-up",0.234242424242424,0.01,0.05,0.11,0.24,3.64
"Mammal Biodiversity","Evergreen/Deciduous
Needleleaf Trees",0.205176470588235,0.01,0.05,0.11,0.23,2.05
"Poultry","Urban/Built-up",0.228571428571429,0.01,0.05,0.11,0.24,2.03
"Continent","Population Change",0.190512820512821,0.01,0.05,0.105,0.26,1.17
"Mixed/Other Trees","Population Change",0.142692307692308,0.03,0.07,0.105,0.2125,0.34
"Urban/Built-up","Evergreen Broadleaf
Trees",0.200689655172414,0.01,0.06,0.105,0.17,1.62
"Livestock Mammal
Headcount","Urban/Built-up",0.377428571428571,0.01,0.04,0.105,0.195,10.08
"Poultry","Evergreen Broadleaf
Trees",0.147564102564103,0.02,0.05,0.105,0.175,0.73
"Continent","Shrubs",0.197868852459016,0.01,0.06,0.1,0.22,1.39
"Continent","Regularly Flooded Veg.",0.207073170731707,0.01,0.0425,0.1,0.235,1.8
"Continent","Poultry",0.22,0,0.05,0.1,0.21,1.81
"Deciduous Broadleaf
Trees","Population",0.173023255813954,0.02,0.06,0.1,0.235,0.88
"Shrubs","Deciduous Broadleaf
Trees",0.199047619047619,0.03,0.09,0.1,0.19,0.84
"Shrubs","Pasture",0.186551724137931,0.02,0.04,0.1,0.19,1.13
"Cultivated/Managed
Veg.","Evergreen Broadleaf
Trees",0.179789473684211,0.02,0.05,0.1,0.2,1.47
"Regularly Flooded Veg.","Cropland",0.163666666666667,0.02,0.07,0.1,0.21,0.54
"Regularly Flooded Veg.","Shrubs",0.202727272727273,0.03,0.065,0.1,0.145,0.81
"Urban/Built-up","Regularly Flooded Veg.",0.1925,0.01,0.05,0.1,0.165,1.01
