"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Mixed/Other Trees","Evergreen Broadleaf
Trees",0.222244897959184,0.01,0.06,0.155,0.3,2.05
"Mixed/Other Trees","Population Change",0.215769230769231,0.01,0.07,0.155,0.2275,1.9
"Regularly Flooded Veg.","Population",0.202857142857143,0.01,0.07,0.155,0.2875,1.23
"Regularly Flooded Veg.","Population Change",0.2325,0.02,0.09,0.155,0.2525,2.43
"Poultry","Cropland Change",0.463461538461538,0.01,0.08,0.155,0.275,8.54
"Deciduous Broadleaf
Trees","Population Change",0.397241379310345,0.03,0.11,0.15,0.25,6.56
"Mixed/Other Trees","Cropland",0.283877551020408,0.02,0.08,0.15,0.29,1.42
"Mixed/Other Trees","Pasture",0.317460317460317,0.01,0.09,0.15,0.285,2.67
"Mixed/Other Trees","Population",0.233766233766234,0.02,0.07,0.15,0.32,1.29
"Shrubs","Pasture",0.323714285714286,0.02,0.07,0.15,0.315,3.42
"Shrubs","Population Change",0.237857142857143,0.02,0.0675,0.15,0.2475,1.35
"Cultivated/Managed
Veg.","Population",0.265233644859813,0.01,0.0825,0.15,0.3,2.37
"Urban/Built-up","Cropland",0.274126984126984,0.01,0.06,0.15,0.335,1.89
"Urban/Built-up","Population Change",0.31,0.01,0.08,0.15,0.35,2.53
"Global Envir. Strat.","Urban/Built-up",0.306534653465347,0.01,0.07,0.15,0.33,3.42
"Livestock Mammal
Headcount","Cultivated/Managed
Veg.",0.245162790697674,0,0.07,0.15,0.28,1.69
"Livestock Mammal
Headcount","Pasture",0.278879310344828,0.01,0.07,0.15,0.3425,2.41
"Population","Pasture",0.23563829787234,0.02,0.08,0.15,0.32,1.59
"Poultry","Mixed/Other Trees",0.361363636363636,0.05,0.11,0.15,0.325,2.17
"Global Envir. Strat.","Evergreen Broadleaf
Trees",0.296525423728814,0.01,0.06,0.145,0.305,4.42
"Global Envir. Strat.","Herbaceous Veg.",0.276666666666667,0.01,0.08,0.145,0.3025,2.34
"Evergreen/Deciduous
Needleleaf Trees","Population Change",0.21864406779661,0.02,0.07,0.14,0.29,0.87
"Shrubs","Cropland Change",0.245625,0.01,0.09,0.14,0.33,1.8
"Herbaceous Veg.","Mixed/Other Trees",0.18952380952381,0.02,0.04,0.14,0.29,0.64
"Cultivated/Managed
Veg.","Pasture",0.280789473684211,0.01,0.08,0.14,0.315,1.97
"Regularly Flooded Veg.","Cropland",0.168888888888889,0.01,0.055,0.14,0.195,0.92
"Regularly Flooded Veg.","Mixed/Other Trees",0.24,0.01,0.0625,0.14,0.3875,0.99
"Mammal Biodiversity","Deciduous Broadleaf
Trees",0.281518987341772,0.01,0.08,0.14,0.3275,3.37
"Population Change","Cropland",0.315535714285714,0.03,0.08,0.14,0.2975,2.54
"Poultry","Deciduous Broadleaf
Trees",0.209677419354839,0.01,0.05,0.14,0.265,0.98
"Poultry","Global Envir. Strat.",0.220989010989011,0.01,0.06,0.14,0.255,1.47
"Poultry","Population Change",0.232549019607843,0.01,0.08,0.14,0.275,1.21
"Livestock Mammal
Headcount","Urban/Built-up",0.273709677419355,0,0.06,0.135,0.285,2.26
"Poultry","Pasture",0.283214285714286,0.01,0.07,0.135,0.2525,6.03
"Deciduous Broadleaf
Trees","Cropland",0.258918918918919,0.02,0.07,0.13,0.3,1.57
"Shrubs","Population",0.231186440677966,0.02,0.055,0.13,0.21,2.01
