"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Herbaceous Veg.","Cropland",0.276578947368421,0.04,0.1125,0.17,0.3375,1.1
"Evergreen/Deciduous
Needleleaf Trees","Cropland",0.192727272727273,0.04,0.085,0.16,0.22,0.5
"Evergreen Broadleaf
Trees","Cropland",0.185555555555556,0.03,0.0625,0.16,0.215,0.58
"Mixed/Other Trees","Population Change",0.217647058823529,0.04,0.08,0.16,0.28,0.57
"Herbaceous Veg.","Deciduous Broadleaf
Trees",0.276666666666667,0.02,0.08,0.16,0.34,1.5
"Urban/Built-up","Regularly Flooded Veg.",0.236193548387097,0.02,0.09,0.16,0.255,1.72
"Livestock Mammal
Headcount","Evergreen Broadleaf
Trees",0.351634615384615,0.01,0.08,0.16,0.385,2.26
"Evergreen Broadleaf
Trees","Population",0.2485,0.04,0.08,0.155,0.26,1.08
"Regularly Flooded Veg.","Evergreen Broadleaf
Trees",0.254285714285714,0.05,0.0975,0.155,0.33,1.01
"Deciduous Broadleaf
Trees","Population",0.273333333333333,0.02,0.06,0.15,0.35,1.05
"Urban/Built-up","Population",0.288983050847458,0.02,0.07,0.15,0.2875,3.66
"Global Envir. Strat.","Cropland",0.269024390243902,0.02,0.08,0.15,0.31,2.62
"Livestock Mammal
Headcount","Regularly Flooded Veg.",0.2816,0.01,0.11,0.15,0.31,1.18
"Cultivated/Managed
Veg.","Evergreen/Deciduous
Needleleaf Trees",0.211830985915493,0.02,0.08,0.14,0.225,1.48
"Global Envir. Strat.","Population",0.256470588235294,0.03,0.05,0.14,0.29,1.34
"Poultry","Evergreen/Deciduous
Needleleaf Trees",0.193076923076923,0.02,0.0925,0.135,0.19,0.92
"Poultry","Population Change",0.19921875,0.01,0.0775,0.135,0.23,1.15
"Evergreen Broadleaf
Trees","Population Change",0.292258064516129,0.02,0.08,0.13,0.3,1.5
"Deciduous Broadleaf
Trees","Evergreen Broadleaf
Trees",0.292051282051282,0.03,0.1,0.13,0.315,2.28
"Herbaceous Veg.","Evergreen/Deciduous
Needleleaf Trees",0.200588235294118,0.03,0.08,0.13,0.18,1.06
"Regularly Flooded Veg.","Population Change",0.302,0.07,0.1,0.13,0.285,2.54
"Mammal Biodiversity","Evergreen/Deciduous
Needleleaf Trees",0.251555555555556,0.02,0.08,0.13,0.27,1.84
"Poultry","Regularly Flooded Veg.",0.152727272727273,0.05,0.085,0.13,0.2,0.38
"Evergreen/Deciduous
Needleleaf Trees","Population Change",0.2,0.04,0.04,0.125,0.285,0.51
"Shrubs","Evergreen/Deciduous
Needleleaf Trees",0.180714285714286,0.05,0.0925,0.125,0.2325,0.49
"Regularly Flooded Veg.","Population",0.245,0.04,0.07,0.125,0.365,0.65
"Poultry","Pasture",0.1946875,0.02,0.08,0.125,0.21,1.06
"Poultry","Population",0.187083333333333,0.02,0.09,0.125,0.24,0.61
"Herbaceous Veg.","Population Change",0.238,0.05,0.08,0.11,0.4,0.55
"Evergreen/Deciduous
Needleleaf Trees","Population",0.0925,0.04,0.0575,0.075,0.13,0.16
