"","gridid","lon","lat","iso3","bsm_response"
"16015",13206,65.5,48.5,"KAZ",0.456170210219056
"16016",12846,65.5,49.5,"KAZ",0.536134901641851
"16017",12486,65.5,50.5,"KAZ",0.562310872426544
"16018",12126,65.5,51.5,"KAZ",0.493767647700925
"16019",11766,65.5,52.5,"KAZ",0.486272074535204
"16020",11406,65.5,53.5,"KAZ",0.490802572236939
"16021",11046,65.5,54.5,"RUS",0.511703251585357
"16022",10686,65.5,55.5,"RUS",0.408268132174383
"16023",10326,65.5,56.5,"RUS",0.477670430524901
"16024",9966,65.5,57.5,"RUS",0.482151851688882
"16025",9606,65.5,58.5,"RUS",0.524599411309636
"16026",9246,65.5,59.5,"RUS",0.486617864414797
"16027",8886,65.5,60.5,"RUS",0.360438407026919
"16028",8526,65.5,61.5,"RUS",0.359077526602804
"16029",8166,65.5,62.5,"RUS",0.35927271476708
"16030",7806,65.5,63.5,"RUS",0.360945912154937
"16031",7446,65.5,64.5,"RUS",0.336100100282772
"16032",7086,65.5,65.5,"RUS",0.33216539968516
"16033",6726,65.5,66.5,"RUS",0.318324690403662
"16034",6366,65.5,67.5,"RUS",0.330756895201932
"16035",6006,65.5,68.5,"RUS",0.324183919005502
"16036",5646,65.5,69.5,"RUS",0.337640209188648
"16037",3486,65.5,75.5,"RUS",0.337247236775959
"16038",3126,65.5,76.5,"RUS",0.326177060440789
"16039",1686,65.5,80.5,"RUS",0.356247302094064
"16040",1326,65.5,81.5,"RUS",0.348081853259364
"16041",21847,66.5,24.5,"PAK",0.573324795355053
"16042",21487,66.5,25.5,"PAK",0.609581653495429
"16043",21127,66.5,26.5,"PAK",0.593664552054026
"16044",20767,66.5,27.5,"PAK",0.547919833904562
