country,pop,weight_pubs,weight_pop,bsm_response,bsm_weight_pubs,bsm_weight_pop,pubs_fit,bsm_weight_pop_2,bsm_over_pop
Burma,58978812.002664,9.670449293982689e-4,0.009647161360228423,48.184709053210725,6.0636871127795e-4,0.005857930032637718,130.17658245219116,35812996.30210797,0.607218000601476
Burundi,6567189.5,1.2961854112371001e-4,0.0010741948614840897,2.0722187832110355,8.868827065915248e-5,7.347986166233302e-4,17.44830895956671,4492259.209875892,0.6840459240403969
Cambodia,11802407.276649,2.567786070694623e-4,0.0019305191741031355,13.770140194955486,1.773619272498574e-4,0.0012677256813078202,34.56567580157408,7750358.041801502,0.6566760373653215
Cameroon,16008415.82738,0.0017629643210995978,0.0026184957845775832,28.37492993612945,0.0011878917565914687,0.0017705625487398464,237.3174847715652,10824497.673646506,0.6761754436146531
Canada,23730798.57021282,0.028237920647940794,0.0038816455476176816,778.6026934189623,0.01104236497980205,0.0017529753513756067,3801.184302566363,10716976.718179177,0.45160624015540946
Cape Verde,438970.999694,0,7.180246469388901e-5,5.019491047121153,0,3.7893618178616685e-5,0,231666.1346487986,0.5277481537739156
Cayman Islands,40410.001825,0,6.609861998496873e-6,1.550655165478592,0,3.8138313900265057e-6,0,23316.210454357533,0.5769910764995996
Cen African Rep,4077478.346,4.32341730408404e-4,6.66952931247963e-4,38.28726473996719,3.251073174026056e-4,5.090707986423664e-4,58.19871156457289,3112251.346075053,0.7632784485853044
Chad,8556115.308591,8.913739655566455e-4,0.0013995233575571115,58.28170604292545,4.990733186898234e-4,8.896144228803628e-4,119.99030551271612,5438739.940458197,0.6356552879783285
Chile,15472046.165143,0.0026103433506152974,0.0025307618254721024,68.7073786606207,0.0014746658227792772,0.0014417135539225145,351.38551072424406,8814048.970823396,0.5696757155934928
China,1209067229.8394141,0.06331732317976045,0.19776706694428434,466.6392507862377,0.024356033224341423,0.08072597625798303,8523.31933190619,493525711.8305696,0.4081871542379978
Chinese Taipei,30685752.943114,5.900266366032274e-4,0.005019267090170512,6.580670877782415,3.312552182591276e-4,0.0025566620163377184,79.4251112578209,15630389.374182068,0.5093695893060882
Colombia,39981497.020679,0.0027233272112030774,0.006539771488862141,72.43700298977602,0.001828216385545537,0.004317164114958368,366.5945795032136,26393381.556825962,0.6601399027949086
Commonwealth of Dominica,102687.6016,0,1.6796605911378887e-5,0.7078365881713151,0,1.1889252221168575e-5,0,72686.04156403927,0.7078365881713151
Comoros,551997.01174,0,9.02901238902396e-5,2.0172697866096616,0,6.276021023964076e-5,0,383690.3419311935,0.6950949620573638
Congo,2716022.5006,2.756715054702237e-4,4.442596659986266e-4,23.51762250324228,2.0265046050328437e-4,3.2788948784297846e-4,37.108900911040216,2004582.6683138344,0.7380581964512443
Congo (Dem. Rep.),51781977.00532,0.0023227523979851973,0.008469975415906916,134.99501888798028,0.0016536720003292175,0.005997422407899323,312.67210018927386,36665795.82200368,0.7080802615596676
Cook Islands,83266.38850399999,0,1.3619879046483227e-5,3.342378187029095,0,6.534180852965474e-6,0,39947.318151764855,0.479753221791838
Costa Rica,3835061.24998,2.1521766197482917e-4,6.27300778849958e-4,5.018585255892744,1.5140919251577302e-4,4.384986149190385e-4,28.97104246921282,2680801.7827252527,0.6990245026045498
COTE D IVOIRE,17264190.824611,0.0010030913680894504,0.0028239028387223946,20.106455478867993,6.728577787927025e-4,0.0019189978335381309,135.02889288342445,11731970.496975815,0.6795551912141333
Croatia,5259235.76863,8.481795792350329e-4,8.60252934378652e-4,7.0090945898533965,4.2900244596525913e-4,4.4708106765870877e-4,114.17579015615873,2733271.400237981,0.5197088551422715
Cuba,11077755.387034,8.699745542328173e-4,0.0018119879003841164,19.246966992242243,5.226718155083384e-4,0.0010865799199855787,117.10967179246278,6642906.699052222,0.5996617967234984
