lon,lat,bsm_response
-101.5,27.5,0.691593949653683
-101.5,28.5,0.6660521817657207
-101.5,29.5,0.6842042726074571
-101.5,30.5,0.655779452188471
-101.5,31.5,0.6347940914480406
-101.5,32.5,0.5781075936475527
-101.5,33.5,0.5025691714005043
-101.5,34.5,0.5183032644596982
-101.5,35.5,0.5621452308280382
-101.5,36.5,0.4987992934259482
-101.5,37.5,0.541435162273257
-101.5,38.5,0.5392554811301112
-101.5,39.5,0.5698380207352427
-101.5,40.5,0.633868308610761
-101.5,41.5,0.6549539094689975
-101.5,42.5,0.6520464429038725
-101.5,43.5,0.598313457808628
-101.5,44.5,0.587292444501527
-101.5,45.5,0.5781395717059654
-101.5,46.5,0.6069311764898894
-101.5,47.5,0.5455338622469008
-101.5,48.5,0.4744504017732147
-101.5,49.5,0.48565153672492234
-101.5,50.5,0.4613509180583975
-101.5,51.5,0.49277715096354574
-101.5,52.5,0.4893947404729202
-101.5,53.5,0.4558211847985486
-101.5,54.5,0.40049801781994543
-101.5,55.5,0.41669367887978537
-101.5,56.5,0.33980783962857924
-101.5,57.5,0.36066084107673435
-101.5,58.5,0.3535276622642993
-101.5,59.5,0.35036484350673947
-101.5,60.5,0.3330907793946464
-101.5,61.5,0.32180622243670315
-101.5,62.5,0.32630136483886985
-101.5,63.5,0.3312997759764541
-101.5,64.5,0.34707404352262033
-101.5,65.5,0.3299574607359884
-101.5,66.5,0.3238046625609558
-101.5,67.5,0.3237765257290044
-101.5,68.5,0.324917807269011
-101.5,69.5,0.3130171666981764
-101.5,70.5,0.3216794073818557
-101.5,72.5,0.3263012312656286
-101.5,73.5,0.3347645704851756
-101.5,75.5,0.3272209382286371
-101.5,76.5,0.32608913710709986
-101.5,77.5,0.3307107003900303
-101.5,78.5,0.3225634295182494
-101.5,79.5,0.3468680884291786
-102.5,17.5,0.5791966359123095
-102.5,18.5,0.6896386364749698
-102.5,19.5,0.560713596968838
-102.5,20.5,0.5185940196229094
-102.5,21.5,0.5196620572189019
-102.5,22.5,0.5456670908832122
-102.5,23.5,0.6318024988800196
